dataset_name,algorithm_name,auc_roc,auc_pr,f1_best,fit_time_sec,predict_time_sec,seed,timestamp,notes,experiment_name,modality,status,best_threshold,contamination_mode,contamination_rate,label_flip_rate,n_train,n_test,train_anomaly_rate,test_anomaly_rate,fit_params,artifact_path,error_type,error_message
cardio,Standard_LightGBM,0.999544,0.995566,0.981481,0.383271,0.003026,42,2026-06-04T14:46:51Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.600366,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,"{""n_estimators"": 100}",/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Standard_LightGBM_ac2fc6386b.npz,,
cardio,Defended_LightGBM_IQR_Trim,0.999391,0.995339,0.981132,0.144152,0.001937,42,2026-06-04T14:46:51Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.958306,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_IQR_Trim_8de3f9bb21.npz,,
cardio,Defended_LightGBM_IQR_Flip,0.980409,0.791708,0.792793,0.138782,0.002163,42,2026-06-04T14:46:51Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.150209,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_IQR_Flip_8a50d33bb6.npz,,
cardio,Defended_LightGBM_LOF_Trim,0.998707,0.987783,0.954955,0.457421,0.001967,42,2026-06-04T14:46:51Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.670578,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_LOF_Trim_d9845c4536.npz,,
cardio,Defended_LightGBM_LOF_Flip,0.963101,0.747796,0.684685,0.186877,0.002724,42,2026-06-04T14:46:52Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.335857,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_LOF_Flip_f5c15e22d9.npz,,
cardio,Defended_LightGBM_KNN_Trim,0.997984,0.979607,0.954955,0.203203,0.003923,42,2026-06-04T14:46:52Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.926975,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_KNN_Trim_f9ab6f6f51.npz,,
cardio,Defended_LightGBM_KNN_Flip,0.973486,0.810377,0.725806,0.182347,0.00214,42,2026-06-04T14:46:52Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.047308,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_KNN_Flip_f0fd273c24.npz,,
cardio,Defended_LightGBM_IForest_Trim,0.99825,0.983284,0.954955,0.39861,0.001886,42,2026-06-04T14:46:52Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.490864,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_IForest_Trim_2f16ac8164.npz,,
cardio,Defended_LightGBM_IForest_Flip,0.974932,0.84272,0.75,0.381501,0.001925,42,2026-06-04T14:46:53Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.208637,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_IForest_Flip_0da2a8f373.npz,,
cardio,Defended_LightGBM_ECOD_Trim,0.997071,0.975762,0.914286,0.636108,0.001951,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.905217,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_ECOD_Trim_8511652609.npz,,
cardio,Defended_LightGBM_ECOD_Flip,0.97904,0.8601,0.782609,0.165739,0.001927,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.998939,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_ECOD_Flip_bdaaafc655.npz,,
cardio,Defended_LightGBM_COPOD_Trim,0.998402,0.98551,0.929825,0.156219,0.0018,42,2026-06-04T14:46:54Z,"flip_rate=0.00; meta={'mode': 'supervised_symmetric_label_flip', 'flip_rate': 0.0, 'seed': 42, 'n_input': 1282, 'n_flipped': 0}",exp4,tabular,success,0.105338,supervised_label_flip,,0.0,1282,549,0.095944,0.096539,{},/root/autodl-tmp/final_project/results/artifacts/exp4/exp4_cardio_Defended_LightGBM_COPOD_Trim_b012165297.npz,,
